size,bedrooms,age,location_score,price
1649.0142459033698,4,10,9.429838168160424,404660.0896711483
1458.5207096486447,1,18,4.223845221843058,262454.59296089166
1694.3065614302077,3,4,3.773136614063236,432318.2854656142
1956.9089569224075,5,18,9.363211539691568,473686.2373280704
1429.7539875829991,3,10,6.751400611496681,348109.80137658626
1429.758912915246,3,23,1.1602268134816929,314569.27170169866
1973.7638446522174,1,11,0.42291749222681196,378750.87733464746
1730.2304187458726,1,9,5.646290509972632,373386.61854081124
1359.1576842195143,1,7,9.301709654384245,291453.6468402288
1662.7680130757894,2,23,8.442487024058185,348107.0687897451
1360.9746921562614,4,27,6.758477464643365,313200.52576385386
1360.281073928923,2,27,1.3911584889108752,225206.31388768996
1572.5886814698101,4,8,2.542313837486956,342503.5145678352
926.0159266026607,4,3,8.755112265526162,245920.06744940853
982.5246502460901,3,4,1.8280723665690046,232487.13679446996
1331.3137412277083,3,20,2.7843940825043454,291678.74389137037
1196.150663899673,4,7,1.2960065119544195,290053.22142723575
1594.2741997785822,4,22,6.761082314144112,379636.58442200004
1227.5927773436367,2,8,9.439823053632097,328160.0076683353
1076.3088895994126,2,14,2.6896803159538596,239855.08857331995
1939.6946306764662,3,14,4.754066078500737,458455.97450568527
1432.2671098540393,1,15,6.343397397112042,308060.45938166167
1520.2584614063771,4,13,9.994662482156308,371058.58160704596
1072.575544135963,2,7,1.0480806499757211,241401.659344272
1336.6851826424452,3,17,4.9857079950570915,292437.35300392273
1533.2767769129598,2,9,3.8512011990250006,369462.65595321794
1154.7019267733092,4,27,8.658201652223552,296351.0630784838
1612.7094055037016,4,19,4.759677310116559,372845.8305353134
1319.8083930243586,5,5,1.109775245851481,314638.94171495613
1412.491875062017,1,11,6.344241452865837,299570.03884843533
1319.488016331181,5,1,7.707806182638798,364963.1342707854
2055.6834553526814,3,6,0.028812516656145926,409738.8046168778
1495.9508325786198,2,15,8.589566854206295,370325.2714555759
1182.68672131323,3,2,1.8602300000566563,269285.7601552218
